№;Дата и время;Секунда;Микросекунда
175;2023-04-30 11:22:12.493952;12;493952
176;2023-04-30 11:22:12.510063;12;510063
177;2023-04-30 11:22:12.535575;12;535575
178;2023-04-30 11:22:12.555967;12;555967
179;2023-04-30 11:22:12.571175;12;571175
180;2023-04-30 11:22:12.587258;12;587258
181;2023-04-30 11:22:12.602754;12;602754
182;2023-04-30 11:22:12.618239;12;618239
183;2023-04-30 11:22:12.639159;12;639159
184;2023-04-30 11:22:12.664401;12;664401
185;2023-04-30 11:22:12.679545;12;679545
186;2023-04-30 11:22:12.694952;12;694952
187;2023-04-30 11:22:12.710634;12;710634
188;2023-04-30 11:22:12.725932;12;725932
189;2023-04-30 11:22:12.740591;12;740591
190;2023-04-30 11:22:12.755911;12;755911
191;2023-04-30 11:22:12.771393;12;771393
192;2023-04-30 11:22:12.787422;12;787422
193;2023-04-30 11:22:12.802878;12;802878
194;2023-04-30 11:22:12.818075;12;818075
195;2023-04-30 11:22:12.833936;12;833936
196;2023-04-30 11:22:12.849220;12;849220
197;2023-04-30 11:22:12.865279;12;865279
198;2023-04-30 11:22:12.881379;12;881379
199;2023-04-30 11:22:12.897028;12;897028
200;2023-04-30 11:22:12.912376;12;912376
201;2023-04-30 11:22:12.927571;12;927571
202;2023-04-30 11:22:12.943501;12;943501
203;2023-04-30 11:22:12.958724;12;958724
204;2023-04-30 11:22:12.974019;12;974019
205;2023-04-30 11:22:12.989669;12;989669
206;2023-04-30 11:22:13.004806;13;4806
207;2023-04-30 11:22:13.020377;13;20377
208;2023-04-30 11:22:13.037007;13;37007
209;2023-04-30 11:22:13.053077;13;53077
210;2023-04-30 11:22:13.069051;13;69051
211;2023-04-30 11:22:13.086226;13;86226
212;2023-04-30 11:22:13.119490;13;119490
213;2023-04-30 11:22:13.152706;13;152706
214;2023-04-30 11:22:13.181207;13;181207
215;2023-04-30 11:22:13.206194;13;206194
216;2023-04-30 11:22:13.221343;13;221343
217;2023-04-30 11:22:13.236252;13;236252
218;2023-04-30 11:22:13.251624;13;251624
219;2023-04-30 11:22:13.266685;13;266685
220;2023-04-30 11:22:13.282618;13;282618
221;2023-04-30 11:22:13.298222;13;298222
222;2023-04-30 11:22:13.314292;13;314292
223;2023-04-30 11:22:13.329600;13;329600
224;2023-04-30 11:22:13.345408;13;345408
225;2023-04-30 11:22:13.360916;13;360916
226;2023-04-30 11:22:13.376214;13;376214
227;2023-04-30 11:22:13.391590;13;391590
228;2023-04-30 11:22:13.407610;13;407610
229;2023-04-30 11:22:13.422888;13;422888
230;2023-04-30 11:22:13.438122;13;438122
231;2023-04-30 11:22:13.453873;13;453873
232;2023-04-30 11:22:13.469142;13;469142
233;2023-04-30 11:22:13.484336;13;484336
234;2023-04-30 11:22:13.500513;13;500513
235;2023-04-30 11:22:13.515885;13;515885
236;2023-04-30 11:22:13.531262;13;531262
237;2023-04-30 11:22:13.545770;13;545770
238;2023-04-30 11:22:13.561250;13;561250
239;2023-04-30 11:22:13.576914;13;576914
240;2023-04-30 11:22:13.592212;13;592212
241;2023-04-30 11:22:13.607417;13;607417
242;2023-04-30 11:22:13.622955;13;622955
243;2023-04-30 11:22:13.638993;13;638993
244;2023-04-30 11:22:13.656610;13;656610
245;2023-04-30 11:22:13.669983;13;669983
246;2023-04-30 11:22:13.685036;13;685036
247;2023-04-30 11:22:13.700572;13;700572
248;2023-04-30 11:22:13.716545;13;716545
249;2023-04-30 11:22:13.733302;13;733302
250;2023-04-30 11:22:13.747793;13;747793
251;2023-04-30 11:22:13.762709;13;762709
252;2023-04-30 11:22:13.778578;13;778578
253;2023-04-30 11:22:13.794344;13;794344
254;2023-04-30 11:22:13.809309;13;809309
255;2023-04-30 11:22:13.825100;13;825100
256;2023-04-30 11:22:13.840683;13;840683
257;2023-04-30 11:22:13.855370;13;855370
258;2023-04-30 11:22:13.871064;13;871064
259;2023-04-30 11:22:13.886573;13;886573
260;2023-04-30 11:22:13.902370;13;902370
261;2023-04-30 11:22:13.917953;13;917953
262;2023-04-30 11:22:13.933338;13;933338
263;2023-04-30 11:22:13.948859;13;948859
264;2023-04-30 11:22:13.964787;13;964787
265;2023-04-30 11:22:13.980620;13;980620
266;2023-04-30 11:22:13.996714;13;996714
267;2023-04-30 11:22:14.011954;14;11954
268;2023-04-30 11:22:14.027485;14;27485
269;2023-04-30 11:22:14.044108;14;44108
270;2023-04-30 11:22:14.060971;14;60971
271;2023-04-30 11:22:14.074289;14;74289
272;2023-04-30 11:22:14.087832;14;87832
273;2023-04-30 11:22:14.103172;14;103172
274;2023-04-30 11:22:14.119045;14;119045
275;2023-04-30 11:22:14.133707;14;133707
276;2023-04-30 11:22:14.149101;14;149101
277;2023-04-30 11:22:14.184692;14;184692
278;2023-04-30 11:22:14.210080;14;210080
279;2023-04-30 11:22:14.225625;14;225625
280;2023-04-30 11:22:14.240818;14;240818
281;2023-04-30 11:22:14.256806;14;256806
282;2023-04-30 11:22:14.271580;14;271580
283;2023-04-30 11:22:14.293398;14;293398
284;2023-04-30 11:22:14.317892;14;317892
285;2023-04-30 11:22:14.333525;14;333525
286;2023-04-30 11:22:14.349298;14;349298
287;2023-04-30 11:22:14.365283;14;365283
288;2023-04-30 11:22:14.380850;14;380850
289;2023-04-30 11:22:14.396902;14;396902
290;2023-04-30 11:22:14.412254;14;412254
291;2023-04-30 11:22:14.428361;14;428361
292;2023-04-30 11:22:14.443383;14;443383
293;2023-04-30 11:22:14.458448;14;458448
294;2023-04-30 11:22:14.473940;14;473940
295;2023-04-30 11:22:14.490161;14;490161
296;2023-04-30 11:22:14.505341;14;505341
297;2023-04-30 11:22:14.520588;14;520588
298;2023-04-30 11:22:14.535900;14;535900
299;2023-04-30 11:22:14.551236;14;551236
300;2023-04-30 11:22:14.566354;14;566354
